id,text,blockId,size,videoSrc
129,"Como funciona esse dispositivo?",2,1,""
130,"O projeto de extensão universitária atende mais de mil pessoas na comunidade.",2,2,""
131,"Vou enviar os arquivos por e-mail agora mesmo.",2,2,""
132,"A trilha na montanha oferece vistas panorâmicas deslumbrantes.",2,2,""
133,"A inteligência artificial generativa tem sido amplamente adotada em setores como entretenimento, educação e saúde, mas seu uso também levanta preocupações sobre autenticidade e direitos autorais.",2,3,""
134,"Estudos recentes em neurociência revelam que a meditação pode promover alterações positivas na estrutura cerebral, contribuindo para a regulação emocional e a redução do estresse.",2,3,""
135,"Para onde vamos depois?",2,1,""
136,"O concerto de música clássica lotou a sala principal do teatro.",2,3,""
137,"Que emocionante!",5,1,""
138,"Vamos assistir ao pôr do sol juntos!",5,2,""
139,"Ele não respondeu minhas mensagens ainda.",5,2,""
140,"Que alívio!",5,1,""
141,"A equipe concluiu o projeto antes do prazo.",5,2,""
142,"O ônibus está chegando.",2,1,""
143,"Qual é o código de acesso?",2,1,""
144,"A palestra sobre sustentabilidade empresarial foi bastante concorrida.",2,2,""
145,"Vou preparar uma apresentação para a reunião de amanhã.",2,2,""
146,"A feira de agricultura familiar movimentou a economia local.",2,2,""
147,"A exploração espacial comercial, com empresas privadas investindo em foguetes reutilizáveis e turismo espacial, está transformando a indústria aeroespacial global.",2,3,""
148,"As novas diretrizes curriculares para o ensino médio buscam promover uma formação mais integrada e alinhada às demandas do mercado de trabalho.",2,3,""
149,"Você vai participar do evento?",2,1,""
150,"A peça teatral foi aclamada pela crítica especializada.",2,3,""
151,"Que honra!",5,1,""
152,"Vamos organizar um mutirão de limpeza no bairro!",5,2,""
153,"Talvez chova mais tarde.",5,2,""
154,"Que surpresa!",5,1,""
155,"Os voluntários fizeram um trabalho incrível na campanha.",5,2,""
156,"O relógio parou.",2,1,""
157,"Quanto custa essa passagem?",2,1,""
158,"A obra de restauração do museu durou mais de dois anos.",2,2,""
159,"Vou reservar uma mesa para duas pessoas.",2,2,""
160,"O ciclo de palestras abordará temas de inovação e liderança.",2,2,""
161,"A crise hídrica enfrentada por diversas regiões do país evidencia a necessidade urgente de investimentos em infraestrutura e gestão sustentável dos recursos hídricos.",2,3,""
162,"O desenvolvimento de vacinas de mRNA abriu novas fronteiras na imunologia, permitindo respostas rápidas a patógenos emergentes e ampliando possibilidades no tratamento de câncer.",2,3,""
163,"Onde você comprou esse vestido?",2,1,""
164,"O espetáculo de dança combinou tradição e modernidade de forma magistral.",2,3,""
165,"Que talento!",5,1,""
166,"Vamos preparar um café da manhã especial!",5,2,""
167,"Acredito que vamos conseguir resolver isso.",5,2,""
168,"Que noite!",5,1,""
169,"Os visitantes adoraram a exposição interativa.",5,2,""
170,"O avião decolou com atraso.",2,1,""
171,"Você conhece algum lugar bom para almoçar?",2,1,""
172,"O festival de inverno acontecerá no centro histórico da cidade.",2,2,""
173,"Vou solicitar o reembolso assim que possível.",2,2,""
174,"A receita do bolo é um segredo de família há gerações.",2,2,""
175,"A convergência entre biotecnologia e ciência de dados tem acelerado a descoberta de novos fármacos, reduzindo prazos e custos no desenvolvimento de medicamentos.",2,3,""
176,"Os debates sobre a regulação das plataformas digitais envolvem questões complexas como liberdade de expressão, combate à desinformação e proteção de dados pessoais.",2,3,""
177,"Por que você não falou nada?",2,1,""
178,"A nova ponte vai encurtar o trajeto entre as duas cidades em mais de uma hora.",2,3,""
179,"Que conquista!",5,1,""
180,"Vamos abrir uma garrafa para comemorar!",5,2,""
181,"Ele está se sentindo melhor hoje.",5,2,""
182,"Que coragem!",5,1,""
183,"A iniciativa comunitária foi fundamental para revitalizar a praça.",5,2,""
184,"O Wi-Fi caiu.",2,1,""
185,"Qual horário você prefere?",2,1,""
186,"A oficina de cerâmica ensina técnicas ancestrais de modelagem e queima.",2,2,""
187,"Vou agendar uma consulta para a próxima semana.",2,2,""
188,"O arquivo foi salvo na nuvem.",2,2,""
189,"A urbanização sustentável, com foco em transporte coletivo eficiente, áreas verdes e habitação acessível, é essencial para o bem-estar nas grandes cidades.",2,3,""
190,"Os avanços na computação quântica prometem resolver problemas atualmente intratáveis, impactando áreas como criptografia, química e inteligência artificial.",2,3,""
191,"Quando você pretende viajar?",2,1,""
192,"A obra do escritor ganhador do Nobel aborda questões existenciais com profundidade e sensibilidade.",2,3,""
193,"Que sorte a nossa!",5,1,""
194,"Vamos fazer uma trilha ecológica no domingo!",5,2,""
195,"Ela parece muito feliz hoje.",5,2,""
196,"Que bagunça!",5,1,""
197,"O resultado da pesquisa superou todas as expectativas.",5,2,""
198,"O caderno está sobre a mesa.",2,1,""
199,"Você gosta de música clássica?",2,1,""
200,"A exposição itinerante passará por dez cidades brasileiras ao longo do ano.",2,3,""
