id,text,blockId,videoSrc,audioSize
55,"A desigualdade social ainda é muito presente.",56,"",m
56,"Muitas famílias enfrentam dificuldades diariamente.",56,"",m
57,"É difícil ver tanta injustiça no mundo.",56,"",m
58,"A falta de oportunidades muda destinos.",56,"",m
59,"Isso parte o coração de qualquer pessoa.",56,"",m
60,"A realidade de muitos ainda é muito dura.",56,"",m

61,"Precisamos de mais empatia na sociedade.",56,"",m
62,"Cada história dessas carrega muita dor.",56,"",m
63,"É impossível não se emocionar com isso.",56,"",m
64,"A fome ainda é uma realidade cruel para muitas pessoas em diversas regiões.",56,"",g
65,"A ausência de políticas públicas agrava ainda mais essa situação delicada.",56,"",g
66,"Isso machuca profundamente.",56,"",p
67,"É muito triste.",56,"",p
68,"Não podemos ignorar essa realidade.",56,"",m
69,"Essa situação exige atenção urgente.",56,"",m
70,"O sofrimento dessas pessoas precisa ser visto.",56,"",g

71,"","55","\public\video\happy2.mp4",p
72,"Ver essa menina de uniforme me deixou sem palavras.",55,"",g
73,"Pequenos gestos podem mudar a história de uma vida inteira.",55,"",g
74,"Que emoção saber que ela agora tem um futuro pela frente.",55,"",g
75,"Isso enche o coração de alegria.",55,"",m
76,"Momentos assim fazem tudo valer a pena.",55,"",m
77,"É lindo ver sonhos se tornando realidade.",55,"",m
78,"A felicidade dela é contagiante.",55,"",m
79,"Histórias assim inspiram qualquer pessoa.",55,"",m
80,"É gratificante ver mudanças positivas.",55,"",m

81,"O sorriso dela diz tudo.",55,"",p
82,"Esse é o tipo de notícia que precisamos.",55,"",m
83,"É impossível não se emocionar com isso.",55,"",m
84,"Que alegria!",55,"",p
85,"Isso é lindo.",55,"",p
86,"A transformação na vida dela mostra o impacto de pequenas ações feitas com amor.",55,"",g
87,"Esse tipo de história reforça a importância da solidariedade em nossa sociedade.",55,"",g
88,"Todos merecem oportunidades como essa.",55,"",m
89,"Isso traz esperança.",55,"",p
90,"Momentos assim mudam tudo.",55,"",m

91,"","105","\public\video\motivacional2.mp4",p
92,"Isso mostra o poder que temos de transformar nossas vidas.",105,"",g
93,"Quando nos dedicamos, conseguimos alcançar qualquer objetivo.",105,"",g
94,"Nenhuma conquista grande vem sem sacrifício.",105,"",m
95,"O esforço de hoje é a vitória de amanhã.",105,"",m
96,"A persistência é o caminho do sucesso.",105,"",m
97,"Nunca é tarde para recomeçar.",105,"",p
98,"Acredite no seu potencial.",105,"",p
99,"Grandes mudanças começam com pequenas atitudes.",105,"",m
100,"Você é capaz de ir além.",105,"",p
101,"Cada desafio é uma oportunidade de crescimento.",105,"",m

102,"O sucesso depende da sua determinação.",105,"",m
103,"Continue mesmo quando for difícil.",105,"",m
104,"Não desista.",105,"",p
105,"Você consegue.",105,"",p
106,"A disciplina diária constrói resultados extraordinários ao longo do tempo.",105,"",g
107,"O foco consistente é o principal fator para atingir objetivos de longo prazo.",105,"",g
108,"Cada passo importa.",105,"",p
109,"Persistir é essencial.",105,"",p
110,"A jornada é tão importante quanto o destino.",105,"",m
111,"Grandes resultados exigem constância.",105,"",m
